outcome,predictor,n,beta,se,p_value,scale,prevalence_ratio,ci_low,ci_high,model,fdr
high_total_cholesterol,ln_SSTES1,549,0.3393826418166358,0.1068291642450574,0.006252964548204161,0.946111898015932,1.3786351050255174,1.1114476503434478,1.7100533274971659,survey_weighted_modified_poisson,0.006252964548204161
high_nonHDL_C,ln_SSTES1,549,0.2168745518773664,0.05994285581797307,0.0025304039410087792,0.946111898015932,1.2277553627879023,1.0879633299511569,1.3855092256851398,survey_weighted_modified_poisson,0.0050608078820175584
