short,code,ring,n,df1,df2,F_nonlinear,p_nonlinear,knot_p10,knot_p50,knot_p90,AIC_linear,AIC_spline,delta_AIC,shape
1-OH-naphthalene,ln_URXP01,2,524,1,15,3.18250573481599,0.09466898563536,5.92150347976292,7.30316438284883,9.7391987064002,1200.46198442103,1198.38705928234,2.07492513868488,no design-F evidence of curvature
3-OH-fluorene,ln_URXP03,3,524,1,15,0.241256321975249,0.630408947848205,2.89037175789616,4.31748811353631,6.81804483512516,1199.96946264012,1202.68777079352,-2.71830815340468,no design-F evidence of curvature
2-OH-fluorene,ln_URXP04,3,524,1,15,0.0541460842928334,0.819144919997459,3.97589955345577,5.23642781595711,7.21876741107062,1200.6680743176,1202.56639872074,-1.89832440313808,no design-F evidence of curvature
1-OH-phenanthrene,ln_URXP06,3,524,1,15,9.69674620609483,0.00711148562166291,3.43398720448515,4.58496747867057,5.85161367065111,1200.89337957387,1191.87871894643,9.01466062744089,evidence of curvature
2/3-OH-phenanthrene,ln_URXP25,3,524,1,15,4.24884983470657,0.0570530988602889,3.68887945411394,4.86753445045558,6.10924758276437,1193.38520463312,1189.97074718755,3.41445744557132,no design-F evidence of curvature
1-OH-pyrene,ln_URXP10,4,524,1,15,6.7691805799541,0.0200285069779034,3.90197266957465,4.49980967033027,5.94017125272043,1186.79627759504,1178.81833026979,7.97794732525517,evidence of curvature
