label,cls,n,df,beta,se,iqr,pct,lo,hi,t,p,fdr
E1S (sulfate conjugate),sulfate conjugate,524,15,0.177029423719954,0.0465411215197601,1.35787472618273,27.1737124282261,11.1468969538248,45.511512925963,3.80372062252072,0.00173001951591422,0.0121101366113995
Estrone E1 (unconjugated),unconjugated estrogen,524,15,0.035013108555378,0.0122449612955368,1.39634469697339,5.0105219772393,1.25242254024678,8.90810757193543,2.85938907525498,0.0119375267326378,0.0417813435642323
Total bilirubin (OATP1B1 substrate),OATP1B1 substrate / liver,528,15,-0.0165459920558797,0.036265255444468,1.39634469697339,-2.28390565987562,-12.2815514849372,8.85321451448671,-0.456249152338554,0.654747128673306,0.83661997404061
GGT,OATP1B1 substrate / liver,528,15,-0.0609135036162254,0.0454662626660583,1.39634469697339,-8.1539378393617,-19.7781832398396,5.15467581139537,-1.3397517201628,0.200271128237234,0.467299299220214
Alkaline phosphatase,OATP1B1 substrate / liver,528,15,-0.0053131501308725,0.0198598978459621,1.39634469697339,-0.739153624304934,-6.43621380663991,5.30479819251428,-0.267531594174477,0.792703460195246,0.83661997404061
ALT,OATP1B1 substrate / liver,528,15,-0.0162041520221,0.0316789826480957,1.39634469697339,-2.23725204315599,-11.0335436507435,7.42874652164653,-0.511511124018816,0.616440133805073,0.83661997404061
AST,OATP1B1 substrate / liver,527,15,0.00411624497671136,0.0196165884297373,1.37069804977962,0.565807574877453,-5.03570247693209,6.49772511327851,0.209834905363638,0.83661997404061,0.83661997404061
