pah,endpoint,axis,n,df,beta,se,iqr,pct,lo,hi,t,p,fdr_family,fdr
1-OH-pyrene,Estrone sulfate (E1S),estrogen reservoir,524,15,0.183514128461061,0.0460895569727124,1.35787472618273,28.2984746890144,12.2765557958627,46.6067291684255,3.98168566839798,0.00120332887971213,measured endocrine analytes,0.0120332887971213
1-OH-pyrene,Estrone (E1),estrogen reservoir,524,15,0.036773632050031,0.0126786924687901,1.39634469697339,5.26898665757922,1.3706946867881,9.31719059589202,2.90042779573311,0.0109851458047032,measured endocrine analytes,0.0549257290235161
1-OH-pyrene,E1S/E1 ratio (reservoir index),estrogen reservoir,520,15,0.148694912287177,0.0446764203811916,1.39634469697339,23.0756907705851,7.75195429528945,40.578662890376,3.32826379146921,0.00458528568701605,reservoir-ratio,0.00825269575595334
1-OH-pyrene,E1/E2 (parent : active estrogen),estrogen reservoir,524,15,0.0422943137300914,0.0207004468792427,1.39634469697339,6.08361741510237,-0.254876787647018,12.8249033280064,2.04315945335952,0.059016315956676,reservoir-ratio,0.059016315956676
1-OH-pyrene,E1S/E2 (reservoir : active estrogen),estrogen reservoir,524,15,0.182594293314187,0.0563671548186236,1.35787472618273,28.1383272474917,8.84993658749724,50.8446529648346,3.2393739563711,0.00550179717063556,reservoir-ratio,0.00825269575595334
1-OH-pyrene,"Estradiol (E2, active)",active estrogen,528,15,-0.00371928980781824,0.0224295160038045,1.39634469697339,-0.517994815823719,-6.9421640787975,6.34966155719077,-0.16582122446099,0.870511971851955,measured endocrine analytes,0.870511971851955
1-OH-pyrene,Androstenedione,androgen,528,15,-0.0298968072638601,0.0257265852635389,1.39634469697339,-4.08868736974004,-11.15835723818,3.54355912937665,-1.16209776608913,0.263353064449854,measured endocrine analytes,0.658382661124635
1-OH-pyrene,17-OH-progesterone,steroidogenesis,528,15,-0.091802221606744,0.0499718268682016,1.39634469697339,-12.031161775826,-24.1881527098011,2.07529265035267,-1.83707955782502,0.0860910390090905,measured endocrine analytes,0.286970130030302
1-OH-pyrene,Progesterone,steroidogenesis,525,15,-0.055440288698031,0.114506051232585,1.39634469697339,-7.44931569698444,-34.1776700921788,30.1325732004916,-0.48416907317344,0.635258875273492,measured endocrine analytes,0.794073594091865
1-OH-pyrene,SHBG,binding,523,15,0.00788017614025696,0.0313763393116111,1.34505140258584,1.06556129223281,-7.62870113067741,10.5781536509965,0.251150271610584,0.805105916674625,measured endocrine analytes,0.870511971851955
1-OH-pyrene,FSH,HPG gonadotropin,518,15,-0.0199576789581959,0.0322618208500577,1.34505140258584,-2.64870035959576,-11.2490288453248,6.78503478185915,-0.618616012126305,0.545449606280748,measured endocrine analytes,0.779213723258212
1-OH-pyrene,LH,HPG gonadotropin,524,15,-0.0193640398174076,0.0217966280921618,1.34505140258584,-2.57093672310726,-8.47285422230108,3.71155235265348,-0.888396119598474,0.388352122481363,measured endocrine analytes,0.776704244962726
1-OH-pyrene,AMH,gonadal,520,15,-0.030305362297674,0.0483587470507014,1.34505140258584,-3.994266281014,-16.4230487718441,10.282808495361,-0.626677987870541,0.540291494155718,measured endocrine analytes,0.779213723258212
2/3-OH-phenanthrene,Estrone sulfate (E1S),estrogen reservoir,524,15,0.161202203534366,0.0479416555522878,1.27296567581289,22.7776576197815,7.80206136251673,39.8336267421479,3.36246634950997,0.00427461256270192,measured endocrine analytes,0.0427461256270192
