short,code,x,fit,lo,hi,model,df
1-OH-naphthalene,ln_URXP01,5.56068163101553,6.23901286609986,6.04505828095843,6.43296745124128,Linear,15
1-OH-naphthalene,ln_URXP01,5.60773726012501,6.23506308353793,6.0423037416474,6.42782242542847,Linear,15
1-OH-naphthalene,ln_URXP01,5.6547928892345,6.23111330097601,6.0394237747123,6.42280282723972,Linear,15
1-OH-naphthalene,ln_URXP01,5.70184851834398,6.22716351841408,6.03641626973985,6.41791076708831,Linear,15
1-OH-naphthalene,ln_URXP01,5.74890414745346,6.22321373585216,6.0332793285458,6.41314814315851,Linear,15
1-OH-naphthalene,ln_URXP01,5.79595977656295,6.21926395329023,6.03001128333471,6.40851662324575,Linear,15
1-OH-naphthalene,ln_URXP01,5.84301540567243,6.2153141707283,6.02661071316535,6.40401762829126,Linear,15
1-OH-naphthalene,ln_URXP01,5.89007103478192,6.21136438816638,6.02307645835785,6.39965231797491,Linear,15
1-OH-naphthalene,ln_URXP01,5.9371266638914,6.20741460560445,6.01940763251198,6.39542157869693,Linear,15
1-OH-naphthalene,ln_URXP01,5.98418229300088,6.20346482304253,6.01560363185165,6.39132601423341,Linear,15
1-OH-naphthalene,ln_URXP01,6.03123792211037,6.1995150404806,6.0116641416689,6.3873659392923,Linear,15
1-OH-naphthalene,ln_URXP01,6.07829355121985,6.19556525791867,6.0075891397081,6.38354137612925,Linear,15
1-OH-naphthalene,ln_URXP01,6.12534918032934,6.19161547535675,6.0033788964059,6.37985205430759,Linear,15
1-OH-naphthalene,ln_URXP01,6.17240480943882,6.18766569279482,5.99903397198105,6.3762974136086,Linear,15
1-OH-naphthalene,ln_URXP01,6.2194604385483,6.1837159102329,5.99455521044656,6.37287661001924,Linear,15
1-OH-naphthalene,ln_URXP01,6.26651606765779,6.17976612767097,5.98994373069264,6.3695885246493,Linear,15
1-OH-naphthalene,ln_URXP01,6.31357169676727,6.17581634510905,5.98520091485749,6.3664317753606,Linear,15
1-OH-naphthalene,ln_URXP01,6.36062732587675,6.17186656254712,5.98032839426253,6.36340473083171,Linear,15
1-OH-naphthalene,ln_URXP01,6.40768295498624,6.16791677998519,5.97532803323685,6.36050552673353,Linear,15
1-OH-naphthalene,ln_URXP01,6.45473858409572,6.16396699742327,5.97020191119042,6.35773208365611,Linear,15
1-OH-naphthalene,ln_URXP01,6.50179421320521,6.16001721486134,5.96495230331651,6.35508212640618,Linear,15
1-OH-naphthalene,ln_URXP01,6.54884984231469,6.15606743229942,5.95958166031169,6.35255320428714,Linear,15
1-OH-naphthalene,ln_URXP01,6.59590547142417,6.15211764973749,5.95409258749617,6.35014271197881,Linear,15
1-OH-naphthalene,ln_URXP01,6.64296110053366,6.14816786717556,5.94848782370053,6.3478479106506,Linear,15
1-OH-naphthalene,ln_URXP01,6.69001672964314,6.14421808461364,5.94277022025874,6.34566594896853,Linear,15
1-OH-naphthalene,ln_URXP01,6.73707235875263,6.14026830205171,5.93694272041341,6.34359388369001,Linear,15
1-OH-naphthalene,ln_URXP01,6.78412798786211,6.13631851948979,5.93100833940023,6.34162869957934,Linear,15
1-OH-naphthalene,ln_URXP01,6.83118361697159,6.13236873692786,5.92497014543625,6.33976732841947,Linear,15
1-OH-naphthalene,ln_URXP01,6.87823924608108,6.12841895436594,5.91883124179326,6.33800666693861,Linear,15
1-OH-naphthalene,ln_URXP01,6.92529487519056,6.12446917180401,5.91259475009474,6.33634359351328,Linear,15
1-OH-naphthalene,ln_URXP01,6.97235050430004,6.12051938924208,5.90626379493408,6.33477498355008,Linear,15
1-OH-naphthalene,ln_URXP01,7.01940613340953,6.11656960668016,5.89984148987397,6.33329772348635,Linear,15
1-OH-naphthalene,ln_URXP01,7.06646176251901,6.11261982411823,5.89333092485316,6.33190872338331,Linear,15
1-OH-naphthalene,ln_URXP01,7.1135173916285,6.10867004155631,5.88673515499751,6.3306049281151,Linear,15
1-OH-naphthalene,ln_URXP01,7.16057302073798,6.10472025899438,5.88005719080717,6.32938332718158,Linear,15
1-OH-naphthalene,ln_URXP01,7.20762864984746,6.10077047643245,5.87329998967173,6.32824096319317,Linear,15
1-OH-naphthalene,ln_URXP01,7.25468427895695,6.09682069387053,5.86646644864923,6.32717493909183,Linear,15
1-OH-naphthalene,ln_URXP01,7.30173990806643,6.0928709113086,5.85955939843314,6.32618242418406,Linear,15
1-OH-naphthalene,ln_URXP01,7.34879553717592,6.08892112874668,5.85258159842336,6.32526065906999,Linear,15
1-OH-naphthalene,ln_URXP01,7.3958511662854,6.08497134618475,5.84553573281217,6.32440695955733,Linear,15
1-OH-naphthalene,ln_URXP01,7.44290679539488,6.08102156362282,5.83842440759414,6.32361871965151,Linear,15
1-OH-naphthalene,ln_URXP01,7.48996242450437,6.0770717810609,5.83125014840878,6.32289341371302,Linear,15
1-OH-naphthalene,ln_URXP01,7.53701805361385,6.07312199849897,5.82401539912684,6.32222859787111,Linear,15
1-OH-naphthalene,ln_URXP01,7.58407368272334,6.06917221593705,5.81672252109431,6.32162191077978,Linear,15
1-OH-naphthalene,ln_URXP01,7.63112931183282,6.06522243337512,5.80937379295255,6.32107107379769,Linear,15
1-OH-naphthalene,ln_URXP01,7.6781849409423,6.06127265081319,5.80197141095806,6.32057389066833,Linear,15
1-OH-naphthalene,ln_URXP01,7.72524057005179,6.05732286825127,5.79451748973098,6.32012824677156,Linear,15
1-OH-naphthalene,ln_URXP01,7.77229619916127,6.05337308568934,5.78701406336718,6.31973210801151,Linear,15
