analysis,analyte,exposure,population,n,detection_percent,df,beta,se,iqr,percent_change,ci_low,ci_high,t,p,p_heterogeneity
Primary CDC substitution,1-hydroxypyrene,ln_URXP10,Full analytic sample,524,60.6060606060606,15,0.183514128461061,0.0460895569727124,1.35787472618273,28.2984746890144,12.2765557958627,46.6067291684255,3.98168566839798,0.00120332887971213,
Alternative LOD/2 substitution,1-hydroxypyrene,ln_URXP10_lod2,Full analytic sample,524,60.6060606060606,15,0.144496098092051,0.0466426121798738,1.7044483164627,27.9265558877261,7.98650276459196,51.5486035969818,3.09794180340528,0.00734805764173081,
Detectable-only continuous,1-hydroxypyrene,ln_URXP10,1-OHPyr at or above the LOD,317,100,15,0.282898410166447,0.0561902851787458,1.06471073699243,35.1486333765885,18.9684352345027,53.5294052372504,5.03464983789501,0.000148096314563138,
Binary detectability,1-hydroxypyrene,detected_1OHPyr,Full analytic sample; detected versus below LOD,524,60.4961832061069,15,-0.0580212172040622,0.15270221571743,,-5.63700739642997,-31.852675356701,30.6635942013753,-0.379963165114962,0.70929869998385,
BMI-stratified association,2/3-hydroxyphenanthrene,ln_URXP25,BMI <25,124,100,15,0.134415956457014,0.0903368978479592,1.45528723260684,21.6057204109291,-8.11198755527635,60.9344988886001,1.48794080446776,0.157486152560632,0.126125096851761
BMI-stratified association,2/3-hydroxyphenanthrene,ln_URXP25,BMI >=25,400,99.7518610421836,15,0.151362427718917,0.0601636411301261,1.22812173683065,20.429157274365,2.88095493799578,40.9705220033631,2.51584553188096,0.0237507001068679,0.126125096851761
BMI-stratified association,1-hydroxypyrene,ln_URXP10,BMI <25,124,66.4,15,0.242782270883359,0.0979804779834454,1.7763836413248,53.9217937127968,6.21484577484541,123.056564333643,2.47786371203842,0.0255991022370179,0.314561624485042
BMI-stratified association,1-hydroxypyrene,ln_URXP10,BMI >=25,400,58.8089330024814,15,0.17833720917577,0.0526305912627318,1.29098418131557,25.8890170793675,8.91620300278113,45.5067674440011,3.38847056240564,0.00405252846658154,0.314561624485042
