exposure,check,n,beta,se,p_value
ln_URXP25,PAH_to_E1S,538,0.1458414975042153,0.050471669787841136,0.011229612465400041
ln_URXP25,PAH_to_total_cholesterol,538,4.342126554880061,3.052985843234955,0.17541321776148175
ln_URXP10,PAH_to_E1S,538,0.1654305502649302,0.049559165827915495,0.004494244674292247
ln_URXP10,PAH_to_total_cholesterol,538,-1.0546406190840336,5.464283713440503,0.8495431246367058
ln_URXP06,PAH_to_E1S,538,0.09354329348605832,0.07187230939005054,0.2127158645618888
ln_URXP06,PAH_to_total_cholesterol,538,3.6022701335978318,3.3923583686133942,0.30508944059644166
