exposure,ln_URXP01,ln_URXP03,ln_URXP04,ln_URXP06,ln_URXP10,ln_URXP25
ln_URXP01,1,0.7521254708236665,0.746864090437552,0.6029060956072809,0.6119917775705919,0.672530012800289
ln_URXP03,0.7521254708236665,1,0.9647110522023532,0.7601715380189135,0.7992318923506737,0.87389306232822
ln_URXP04,0.746864090437552,0.9647110522023532,1,0.7905830255388525,0.8074271895806487,0.8954490368331144
ln_URXP06,0.6029060956072809,0.7601715380189135,0.7905830255388525,1,0.8082188894797785,0.9063598762836315
ln_URXP10,0.6119917775705919,0.7992318923506737,0.8074271895806487,0.8082188894797785,1,0.8438187176252266
ln_URXP25,0.672530012800289,0.87389306232822,0.8954490368331144,0.9063598762836315,0.8438187176252266,0.9999999999999999
